buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,pnl,reason
2016-01-31,,105560,KB금융(105560),112593.0,,,신규편입
2016-01-31,,005930,삼성전자(005930),127208.0,,,신규편입
2016-01-31,,051910,LG화학(051910),107363.0,,,신규편입
2016-01-31,,068270,셀트리온(068270),131984.0,,,신규편입
2016-02-29,,207940,삼성바이오로직스(207940),180167.0,,,신규편입
,2016-03-31,051910,LG화학(051910),,86909.0,,교체/약화(월교체상한20%+쿨다운)
2016-04-30,,035420,NAVER(035420),159038.0,,,신규편입
2016-04-30,,000660,SK하이닉스(000660),188165.0,,,신규편입
,2016-05-31,035420,NAVER(035420),,101268.0,,교체/약화(월교체상한20%+쿨다운)
2016-06-30,,017670,SK텔레콤(017670),70465.0,,,신규편입(소프트패널티 적용)
,2016-06-30,207940,삼성바이오로직스(207940),,198616.0,,교체/약화(월교체상한20%+쿨다운)
2016-07-31,,012330,현대모비스(012330),53485.0,,,신규편입
,2016-08-31,017670,SK텔레콤(017670),,84763.0,,교체/약화(월교체상한20%+쿨다운)
,2016-09-30,005930,삼성전자(005930),,80017.0,,교체/약화(월교체상한20%+쿨다운)
2016-10-31,,051910,LG화학(051910),46229.0,,,신규편입
2016-11-30,,105560,KB금융(105560),38338.0,,,신규편입(소프트패널티 적용)
,2016-11-30,105560,KB금융(105560),,163198.0,,교체/약화(월교체상한20%+쿨다운)
2016-12-31,,207940,삼성바이오로직스(207940),192835.0,,,신규편입(소프트패널티 적용)
,2016-12-31,000660,SK하이닉스(000660),,122696.0,,교체/약화(월교체상한20%+쿨다운)
,2017-01-31,068270,셀트리온(068270),,71739.0,,교체/약화(월교체상한20%+쿨다운)
2017-02-28,,096770,SK이노베이션(096770),53756.0,,,신규편입(소프트패널티 적용)
,2017-02-28,051910,LG화학(051910),,45209.0,,교체/약화(월교체상한20%+쿨다운)
2017-03-31,,068270,셀트리온(068270),115724.0,,,신규편입
2017-04-30,,207940,삼성바이오로직스(207940),113761.0,,,신규편입(소프트패널티 적용)
,2017-04-30,207940,삼성바이오로직스(207940),,84282.0,,교체/약화(월교체상한20%+쿨다운)
2017-05-31,,267260,현대일렉트릭(267260),21362.0,,,신규편입
2017-06-30,,035420,NAVER(035420),172894.0,,,신규편입(소프트패널티 적용)
,2017-06-30,267260,현대일렉트릭(267260),,61229.0,,교체/약화(월교체상한20%+쿨다운)
,2017-07-31,068270,셀트리온(068270),,58634.0,,교체/약화(월교체상한20%+쿨다운)
2017-08-31,,035420,NAVER(035420),119542.0,,,신규편입(소프트패널티 적용)
,2017-08-31,035420,NAVER(035420),,58204.0,,교체/약화(월교체상한20%+쿨다운)
2017-09-30,,000660,SK하이닉스(000660),98520.0,,,신규편입(소프트패널티 적용)
,2017-09-30,096770,SK이노베이션(096770),,35152.0,,교체/약화(월교체상한20%+쿨다운)
,2017-10-31,105560,KB금융(105560),,136726.0,,교체/약화(월교체상한20%+쿨다운)
,2017-11-30,012330,현대모비스(012330),,108868.0,,교체/약화(월교체상한20%+쿨다운)
2017-12-31,,068270,셀트리온(068270),100708.0,,,신규편입(소프트패널티 적용)
,2017-12-31,207940,삼성바이오로직스(207940),,142375.0,,교체/약화(월교체상한20%+쿨다운)
2018-01-31,,267260,현대일렉트릭(267260),31377.0,,,신규편입
2018-01-31,,005930,삼성전자(005930),53506.0,,,신규편입
2018-01-31,,017670,SK텔레콤(017670),34801.0,,,신규편입
,2018-02-28,068270,셀트리온(068270),,56814.0,,교체/약화(월교체상한20%+쿨다운)
2018-03-31,,105560,KB금융(105560),65457.0,,,신규편입(소프트패널티 적용)
,2018-03-31,005930,삼성전자(005930),,154042.0,,교체/약화(월교체상한20%+쿨다운)
,2018-04-30,267260,현대일렉트릭(267260),,192655.0,,교체/약화(월교체상한20%+쿨다운)
2018-05-31,,005930,삼성전자(005930),159688.0,,,신규편입
,2018-06-30,105560,KB금융(105560),,41457.0,,교체/약화(월교체상한20%+쿨다운)
2018-07-31,,105560,KB금융(105560),61720.0,,,신규편입
2018-07-31,,051910,LG화학(051910),183594.0,,,신규편입
2018-08-31,,000660,SK하이닉스(000660),137280.0,,,신규편입(소프트패널티 적용)
,2018-08-31,000660,SK하이닉스(000660),,124198.0,,교체/약화(월교체상한20%+쿨다운)
2018-09-30,,267260,현대일렉트릭(267260),150491.0,,,신규편입(소프트패널티 적용)
,2018-09-30,035420,NAVER(035420),,69742.0,,교체/약화(월교체상한20%+쿨다운)
,2018-10-31,267260,현대일렉트릭(267260),,29383.0,,교체/약화(월교체상한20%+쿨다운)
2018-11-30,,035420,NAVER(035420),52652.0,,,신규편입
2018-12-31,,096770,SK이노베이션(096770),33179.0,,,신규편입(소프트패널티 적용)
,2018-12-31,017670,SK텔레콤(017670),,22729.0,,교체/약화(월교체상한20%+쿨다운)
,2019-01-31,035420,NAVER(035420),,116994.0,,교체/약화(월교체상한20%+쿨다운)
2019-02-28,,035420,NAVER(035420),117334.0,,,신규편입
,2019-03-31,105560,KB금융(105560),,62695.0,,교체/약화(월교체상한20%+쿨다운)
,2019-04-30,000660,SK하이닉스(000660),,80123.0,,교체/약화(월교체상한20%+쿨다운)
2019-05-31,,000660,SK하이닉스(000660),81334.0,,,신규편입
2019-05-31,,267260,현대일렉트릭(267260),38673.0,,,신규편입
,2019-06-30,005930,삼성전자(005930),,182178.0,,교체/약화(월교체상한20%+쿨다운)
2019-07-31,,005930,삼성전자(005930),22994.0,,,신규편입
2019-08-31,,068270,셀트리온(068270),148793.0,,,신규편입(소프트패널티 적용)
,2019-08-31,051910,LG화학(051910),,101135.0,,교체/약화(월교체상한20%+쿨다운)
,2019-09-30,096770,SK이노베이션(096770),,125251.0,,교체/약화(월교체상한20%+쿨다운)
2019-10-31,,096770,SK이노베이션(096770),154365.0,,,신규편입
