buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,pnl,reason
2016-01-31,,105560,KB금융(105560),112593.0,,,신규편입
2016-01-31,,005930,삼성전자(005930),127208.0,,,신규편입
2016-01-31,,051910,LG화학(051910),107363.0,,,신규편입
2016-01-31,,068270,셀트리온(068270),131984.0,,,신규편입
2016-02-29,,207940,삼성바이오로직스(207940),180167.0,,,신규편입
,2016-03-31,105560,KB금융(105560),,86909.0,,교체/약화(월교체상한20%+쿨다운)
2016-04-30,,035420,NAVER(035420),159038.0,,,신규편입
2016-04-30,,000660,SK하이닉스(000660),188165.0,,,신규편입
,2016-05-31,207940,삼성바이오로직스(207940),,101268.0,,교체/약화(월교체상한20%+쿨다운)
2016-06-30,,017670,SK텔레콤(017670),70465.0,,,신규편입(소프트패널티 적용)
,2016-06-30,035420,NAVER(035420),,198616.0,,교체/약화(월교체상한20%+쿨다운)
2016-07-31,,012330,현대모비스(012330),53485.0,,,신규편입
,2016-08-31,012330,현대모비스(012330),,84763.0,,교체/약화(월교체상한20%+쿨다운)
,2016-09-30,068270,셀트리온(068270),,80017.0,,교체/약화(월교체상한20%+쿨다운)
2016-10-31,,012330,현대모비스(012330),46229.0,,,신규편입
2016-11-30,,105560,KB금융(105560),38338.0,,,신규편입(소프트패널티 적용)
,2016-11-30,005930,삼성전자(005930),,163198.0,,교체/약화(월교체상한20%+쿨다운)
2016-12-31,,068270,셀트리온(068270),192835.0,,,신규편입(소프트패널티 적용)
,2016-12-31,051910,LG화학(051910),,122696.0,,교체/약화(월교체상한20%+쿨다운)
,2017-01-31,012330,현대모비스(012330),,71739.0,,교체/약화(월교체상한20%+쿨다운)
2017-02-28,,000660,SK하이닉스(000660),53756.0,,,신규편입(소프트패널티 적용)
,2017-02-28,000660,SK하이닉스(000660),,45209.0,,교체/약화(월교체상한20%+쿨다운)
2017-03-31,,096770,SK이노베이션(096770),115724.0,,,신규편입
2017-04-30,,035420,NAVER(035420),113761.0,,,신규편입(소프트패널티 적용)
,2017-04-30,000660,SK하이닉스(000660),,84282.0,,교체/약화(월교체상한20%+쿨다운)
2017-05-31,,051910,LG화학(051910),21362.0,,,신규편입
2017-06-30,,329180,HD현대중공업(329180),172894.0,,,신규편입(소프트패널티 적용)
,2017-06-30,068270,셀트리온(068270),,61229.0,,교체/약화(월교체상한20%+쿨다운)
,2017-07-31,329180,HD현대중공업(329180),,58634.0,,교체/약화(월교체상한20%+쿨다운)
2017-08-31,,005930,삼성전자(005930),119542.0,,,신규편입(소프트패널티 적용)
,2017-08-31,051910,LG화학(051910),,58204.0,,교체/약화(월교체상한20%+쿨다운)
2017-09-30,,105560,KB금융(105560),98520.0,,,신규편입(소프트패널티 적용)
,2017-09-30,105560,KB금융(105560),,35152.0,,교체/약화(월교체상한20%+쿨다운)
,2017-10-31,035420,NAVER(035420),,136726.0,,교체/약화(월교체상한20%+쿨다운)
,2017-11-30,017670,SK텔레콤(017670),,108868.0,,교체/약화(월교체상한20%+쿨다운)
2017-12-31,,051910,LG화학(051910),100708.0,,,신규편입(소프트패널티 적용)
,2017-12-31,005930,삼성전자(005930),,142375.0,,교체/약화(월교체상한20%+쿨다운)
2018-01-31,,035420,NAVER(035420),31377.0,,,신규편입
2018-01-31,,207940,삼성바이오로직스(207940),53506.0,,,신규편입
2018-01-31,,267260,현대일렉트릭(267260),34801.0,,,신규편입
,2018-02-28,035420,NAVER(035420),,56814.0,,교체/약화(월교체상한20%+쿨다운)
2018-03-31,,005930,삼성전자(005930),65457.0,,,신규편입(소프트패널티 적용)
,2018-03-31,051910,LG화학(051910),,154042.0,,교체/약화(월교체상한20%+쿨다운)
,2018-04-30,105560,KB금융(105560),,192655.0,,교체/약화(월교체상한20%+쿨다운)
2018-05-31,,051910,LG화학(051910),159688.0,,,신규편입
,2018-06-30,051910,LG화학(051910),,41457.0,,교체/약화(월교체상한20%+쿨다운)
2018-07-31,,000660,SK하이닉스(000660),61720.0,,,신규편입
2018-07-31,,012330,현대모비스(012330),183594.0,,,신규편입
2018-08-31,,035420,NAVER(035420),137280.0,,,신규편입(소프트패널티 적용)
,2018-08-31,096770,SK이노베이션(096770),,124198.0,,교체/약화(월교체상한20%+쿨다운)
2018-09-30,,000660,SK하이닉스(000660),150491.0,,,신규편입(소프트패널티 적용)
,2018-09-30,000660,SK하이닉스(000660),,69742.0,,교체/약화(월교체상한20%+쿨다운)
,2018-10-31,012330,현대모비스(012330),,29383.0,,교체/약화(월교체상한20%+쿨다운)
2018-11-30,,017670,SK텔레콤(017670),52652.0,,,신규편입
2018-12-31,,051910,LG화학(051910),33179.0,,,신규편입(소프트패널티 적용)
,2018-12-31,017670,SK텔레콤(017670),,22729.0,,교체/약화(월교체상한20%+쿨다운)
,2019-01-31,207940,삼성바이오로직스(207940),,116994.0,,교체/약화(월교체상한20%+쿨다운)
2019-02-28,,012330,현대모비스(012330),117334.0,,,신규편입
,2019-03-31,051910,LG화학(051910),,62695.0,,교체/약화(월교체상한20%+쿨다운)
,2019-04-30,267260,현대일렉트릭(267260),,80123.0,,교체/약화(월교체상한20%+쿨다운)
2019-05-31,,068270,셀트리온(068270),81334.0,,,신규편입
2019-05-31,,051910,LG화학(051910),38673.0,,,신규편입
,2019-06-30,005930,삼성전자(005930),,182178.0,,교체/약화(월교체상한20%+쿨다운)
2019-07-31,,005930,삼성전자(005930),22994.0,,,신규편입
2019-08-31,,207940,삼성바이오로직스(207940),148793.0,,,신규편입(소프트패널티 적용)
,2019-08-31,000660,SK하이닉스(000660),,101135.0,,교체/약화(월교체상한20%+쿨다운)
,2019-09-30,068270,셀트리온(068270),,125251.0,,교체/약화(월교체상한20%+쿨다운)
2019-10-31,,068270,셀트리온(068270),154365.0,,,신규편입
